title,author,description,cover_url,genres,year
Make Four Million Dollars by Next Thursday!,Stephen Manes,Jason attracts a lot of attention when he starts following the zany advice in a get-rich-quick book by the bizarre Dr. Silverfish.,http://books.google.com/books/content?id=uBbkVH1kFQ8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,1996
The Little Book of Going Green,"Zack Bush, Laurie Friedman",,,,2022
Monster by Mistake! Kidnapped,Paul (adapted by) Kropp,,,Kids,2001
Outdoor Play,Southwater,Helps your child learn about the fun things they can do outside.,http://books.google.com/books/content?id=yDwNAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kids,2000
Kid's Kitchen: Cookies and Candies,Nicola Flower,,http://books.google.com/books/content?id=rpTQkkBxPn8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Cooking desserts,1995
Dumbo Live Action,Helen Aberson (novel) Ehren Kruger (screenplay by),"From Disney and director Tim Burton, the grand live-action adventure Dumbo expands on the beloved classic where differences are celebrated, family is cherished and dreams take flight. A struggling circus makes an incredible comeback with a baby elephant that can fly, but when they attract a new investor they soon discover his new plans conceal dark secrets.",,Comedy,2019
Chess Tactics For Kids Skewer,,Skewer is an attack upon two pieces in a line. The more valuable piece is the one under direct attack and the less valuable piece is behind it.,,Chess,
Phonic Books Dandelion World Stages 1-7 Alphabet Code,"Jennifer Albro, Maya Myers",,,,2023
"Monster by Mistake, Billy Caves In",Paul (adapted by) Kropp,,,Kids,2001
"Using Crayons, Scissors and Glue for Crafts",Marilynn Barr,"""Using Crayons, Scissors & Glue for Crafts"" features 32 projects designed to reinforce tracing, coloring, cutting and pasting; develop hand-eye coordination, motor skills, and following directions.",http://books.google.com/books/content?id=rjw2QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Activity programs in education,2010
"150 Ways to Raise Creative, Confident Kids",Silvana Clark,,,Kids,1997
My Amazing Bones and Skeleton: A Book about Body Parts & Growing Strong for Kids: Halloween Books for Learning,A. D. Largie,Kids learn all about their amazing bones and skeleton. Skeletons aren't scary and they are not just for Halloween. They are inside your body under your strong muscles. Bones are strong and love to grow tall. Your bones are amazing let me show you how!,http://books.google.com/books/content?id=cO7cswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction,2017
Burgers and Hot Dogs,Gina Steer,"This cookbook for ages 8-14 contains 35 ideas for burgers, hot dogs, and sauces.",http://books.google.com/books/content?id=sdEjkJEk4NsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction,1995
Monster By Mistake Tracy's Jacket,Paul (adapted by) Kropp,,,Kids,2001
蝴蝶的雨衣,Liping Sun,,,Kids,2010
疯狂胎儿,安卓卡通,,,Kids,2012
骗小孩的大谎言,"Andy Riley, 董小✹",,,Caricatures and cartoons,2011
